Supplemental Files,Number of Bolt Holes,Recommended Torque,Overall Length,Thread Size,KSCdirect Part #,url,On Hand,Method of Manufacture,Thickness,Fitting/Connector Type,Series,Details,Depth,Hub Diameter,Category,Average Ft,Length,Type,Pressure Class,Length Through Hub,Price,Outside Diameter,Tube Size,Color,Manufacturer,Supplier,Domestic/Import,Family,Inside Diameter,Hex Size,Wall Thickness,Nipple Type,Slot Size,Class,image,UPC,Finish,Thread Type,MFG Part #,Seal Material,Bolt Circle Diameter,Connection Type,Diameter - Thread Size,Pressure Rating,Specifications,Standard Pack,Pipe Size,TYPE,Width,Angle,Description,Slot Spacing,Form,Load Capacity,Suitable For Use With,Nominal Size,Dimensions,Run Size,Title,Size,Material,Flange Thickness,Rod Size,Temperature Rating,Working Pressure,Schedule Rating,Bolt Hole Size,End Style,Connection
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4208015,,,,,PLUG BLK 1/2,https://kscdirect.com/item/PLUG%2BBLK%2B1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2BSTEEL%2BSTD%2BMERCHANT%2BSQ%2BHEAD%2BPLUG,1732,,,Plug,,"Description
Anvil® Solid Plug, Square Head, Fitting/Connector Type: Plug, 1/2 in Nominal, MNPT, 125 lb, 175 psi, Merchant Steel, Black Oxide, -20 to 150 deg F, Domestic
Features:
Small Steel Fittings to ASME C1215
Standards/Approval:
ASME B16.4
cULus Listed
FM Approved",,,Piping & Fittings,,,Square Head,125 lb,,$0.80,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=PLUG%20BLK%201%2F2&mdx=300,69029135342,Black Oxide,,0318901568,,,,,175 psi,,,,,,,1/2 STEEL STD MERCHANT SQ HEAD PLUG,,,,,1/2 in,,,1/2 STEEL STD MERCHANT SQ HEAD PLUG,,Merchant Steel,,,-20 to 150 deg F,,,,MNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5767298,,,,,BUSH 304 3/4X1/2,https://kscdirect.com/item/BUSH%2B304%2B3%252F4X1%252F2/Merit%2BBrass%2BCompany_3%252F4%2BX%2B1%252F2%2B150%2523%2BTYPE%2B304%2BSS%2BBUSHING,596,,,Bushing,,"Description
Merit Brass Pipe Bushing, Hex Head, Bushing Fitting/Connector, 3/4 x 1/2 in Nominal, MNPT x FNPT End Style, 1.18 in Hex, 0.94 in Length, 150 lb Pressure Class, 304/304L Stainless Steel, 100 deg F, Domestic/Import: Import
Standards/Approval:
PROP65: This product can expose you to lead, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov.",,,Piping & Fittings,,0.94 in,Hex Head,150 lb,,$3.08,,,,Merit Brass Company,Merit Brass Company,Import,,,1.18 in,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20304%203%2F4X1%2F2&mdx=300,671404095512,,,K414-1208,,,,,,,,,,,,3/4 X 1/2 150# TYPE 304 SS BUSHING,,,,,3/4 x 1/2 in,,,3/4 X 1/2 150# TYPE 304 SS BUSHING,,304/304L Stainless Steel,,,100 deg F,,,,MNPT x FNPT,
,,,,,NIP 304 3/4XCL,https://kscdirect.com/item/NIP%2B304%2B3%252F4XCL/Merit%2BBrass%2BCompany_3%252F4%2BX%2BCL%2BSCH40%2BTYPE%2B304%2BSS%2BNIPPLE,618,Welded,,,,"Description
Merit Brass Pipe Nipple, 3/4 in Nominal, MNPT, Close Length, SCH 40/STD, Welded, 304L Stainless Steel, Domestic
Standards/Approval:
ANSI B1.20.1
ASTM A312/SA312/A733",,,Piping & Fittings,,Close,,,,$2.03,,,,Merit Brass Company,Merit Brass Company,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20304%203%2F4XCL&mdx=300,671404027117,,,4012-001,,,,,,,,,,,,3/4 X CL SCH40 TYPE 304 SS NIPPLE,,,,,3/4 in,,,3/4 X CL SCH40 TYPE 304 SS NIPPLE,,304L Stainless Steel,,,,,SCH 40/STD,,MNPT,
,,,,,PIPE PVC40 2,https://kscdirect.com/item/PIPE%2BPVC40%2B2/CRESLINE%2BPLASTIC%2BPIPE%2BCOMPANY_2%2BPVC%2BSCH%2B40%2BPLASTIC%2BPIPE%252F%2B47645%2B%2B%2B%2B%2BBelled%2BEnd,20340,,,,,"2 PVC SCH 40 PLASTIC PIPE
View catalog page
Keywords: CRESLI PIPE PVC40 2  CRESLINE PLASTIC PIPE COMPANY CRESLI47645          2 PVC SCH 40 PLASTIC PIPE
Kelly Legacy Part Number: 1102006",,,Piping & Fittings,,,,,,$1.28,,,,CRESLINE PLASTIC PIPE COMPANY,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,098248476459,,,47645,,,,,,,,,,,,2 PVC SCH 40 PLASTIC PIPE/ 47645     Belled End,,,,,,,,2 PVC SCH 40 PLASTIC PIPE/ 47645     Belled End,,,,,,,,,,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4161461,,,,,TEE BLK 3/4,https://kscdirect.com/item/TEE%2BBLK%2B3%252F4/ASC%2BEngineered%2BSolutions_3%252F4%2BBLK%2BMI%2B150%2523%2BTEE,651,,,Tee,FIG 1105,"Description
Anvil® Straight Pipe Tee, Series: FIG 1105, Fitting/Connector Type: Tee, 3/4 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Piping & Fittings,,,,150 lb,,$5.32,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=TEE%20BLK%203%2F4&mdx=300,69029134567,Black Oxide,,0310030002,,,,,300 psi,,,,,,,3/4 BLK MI 150# TEE,,,,,3/4 in,,,3/4 BLK MI 150# TEE,,Malleable Iron,,,-20 to 150 deg F,,SCH 40/STD,,FNPT,
,,,,,NIP 304 1/2XCL,https://kscdirect.com/item/NIP%2B304%2B1%252F2XCL/Merit%2BBrass%2BCompany_1%252F2%2BX%2BCL%2BSCH%2B40%2BTYPE%2B304%2BSS%2BNIPPLE,761,Welded,,,,"Description
Merit Brass Pipe Nipple, 1/2 in Nominal, MNPT, Close Length, SCH 40/STD, Welded, 304L Stainless Steel, Domestic
Standards/Approval:
ANSI B1.20.1
ASTM A312/SA312/A733",,,Piping & Fittings,,Close,,,,$1.51,,,,Merit Brass Company,Merit Brass Company,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20304%201%2F2XCL&mdx=300,671404026707,,,4008-001,,,,,,,,,,,,1/2 X CL SCH 40 TYPE 304 SS NIPPLE,,,,,1/2 in,,,1/2 X CL SCH 40 TYPE 304 SS NIPPLE,,304L Stainless Steel,,,,,SCH 40/STD,,MNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4153362,,,,,90 BLK 2,https://kscdirect.com/item/90%2BBLK%2B2/ASC%2BEngineered%2BSolutions_2%2BBLK%2BMI%2B150%2523%2B90%2BELL,653,,,90 deg Elbow,FIG 1101,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 2 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Piping & Fittings,,,Standard,150 lb,,$21.71,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%202&mdx=300,69029134636,Black Oxide,,0310001805,,,,,300 psi,,,,,,,2 BLK MI 150# 90 ELL,,,,,2 in,,,2 BLK MI 150# 90 ELL,,Malleable Iron,,,-20 to 150 deg F,,SCH 40/STD,,FNPT,
,,,,,NIP 304 1/4XCL,https://kscdirect.com/item/NIP%2B304%2B1%252F4XCL/Merit%2BBrass%2BCompany_1%252F4%2BX%2BCL%2BSCH%2B40%2BTYPE%2B304%2BSS%2BNIPPLE,582,Welded,,,,"Description
Merit Brass Pipe Nipple, 1/4 in Nominal, MNPT, Close Length, SCH 40/STD, Welded, 304L Stainless Steel, Domestic
Standards/Approval:
ANSI B1.20.1
ASTM A312/SA312/A733",,,Piping & Fittings,,Close,,,,$0.97,,,,Merit Brass Company,Merit Brass Company,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20304%201%2F4XCL&mdx=300,671404026349,,,4004-001,,,,,,,,,,,,1/4 X CL SCH 40 TYPE 304 SS NIPPLE,,,,,1/4 in,,,1/4 X CL SCH 40 TYPE 304 SS NIPPLE,,304L Stainless Steel,,,,,SCH 40/STD,,MNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5418745,,,,,SPE 429-020,https://kscdirect.com/item/SPE%2B429-020/Spears_2%2BPVC-40%2BCOUP%2BS%2BX%2BS,646,Molded,,Coupling,,"Description
Spears® 429-020, Standard, Coupling Fitting/Connector, 2 in Nominal, Socket End Style, 2-7/8 in Length, SCH 40 Schedule, Molded Method of Manufacture, PVC, White, 140 deg F, 2-3/4 in Dia Dimensions, Domestic/Import: Domestic
Features:
Exceptional chemical and corrosion resistance
High temperature ratings
Lower installation costs
Higher flow capacity
Additional fabricated configurations through 36 in
Advanced design specialty fittings
Standards/Approval:
ASTM D1784
ASTM D1785
ASTM D2466
NSF Approved",,,Piping & Fittings,,2-7/8 in,Standard,,,$1.88,,,White,Spears,Spears,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=SPE%20429-020&mdx=300,054211164457,,,429-020,,,,,,,,,,,,2 PVC-40 COUP S X S,,,,,2 in,2-3/4 in Dia,,2 PVC-40 COUP S X S,,PVC,,,140 deg F,,SCH 40/STD,,Socket,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5767077,,,,,COUP 304 1/2,https://kscdirect.com/item/COUP%2B304%2B1%252F2/Merit%2BBrass%2BCompany_1%252F2%2B150%2523%2BTYPE%2B304SS%2BCAST%2BSTOCK%2BCOUP,690,,,Coupling,,"Description
Merit Brass Pipe Coupling, Fitting/Connector Type: Coupling, 1/2 in Nominal, FNPT, 150 lb Pressure Class, 304/304L Stainless Steel, 100 deg F, Import
Standards/Approval:
PROP65: This product can expose you to lead, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov.",,,Piping & Fittings,,,,150 lb,,$3.51,,,,Merit Brass Company,Merit Brass Company,Import,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=COUP%20304%201%2F2&mdx=300,671404094799,,,K411-08,,,,,,,,,,,,1/2 150# TYPE 304SS CAST STOCK COUP,,,,,1/2 in,,,1/2 150# TYPE 304SS CAST STOCK COUP,,304/304L Stainless Steel,,,100 deg F,,,,FNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4158373,,,,,PLUG BLK 3/4,https://kscdirect.com/item/PLUG%2BBLK%2B3%252F4/ASC%2BEngineered%2BSolutions_3%252F4%2BSTEEL%2BSTD%2BMERCHANT%2BSQ%2BHEAD%2BPLUG,1393,,,Plug,,"Description
Anvil® Solid Plug, Square Head, Fitting/Connector Type: Plug, 3/4 in Nominal, MNPT, 125 lb, 175 psi, Merchant Steel, Black Oxide, -20 to 150 deg F, Domestic
Features:
Small Steel Fittings to ASME C1215
Standards/Approval:
ASME B16.4
cULus Listed
FM Approved",,,Piping & Fittings,,,Square Head,125 lb,,$1.13,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=PLUG%20BLK%203%2F4&mdx=300,69029135343,Black Oxide,,0318901600,,,,,175 psi,,,,,,,3/4 STEEL STD MERCHANT SQ HEAD PLUG,,,,,3/4 in,,,3/4 STEEL STD MERCHANT SQ HEAD PLUG,,Merchant Steel,,,-20 to 150 deg F,,,,MNPT,
